Watershed,SiteID,SampleDate,VisitId,MeasureNbr,Crew,VisitPhase,VisitStatus,StreamName,Panel,FishID,ChannelUnit,ChannelUnitNumber,Lane,HabitatType,FishCount,Species,SizeClass,NaturalWoodUsed,PlacedWoodUsed,NaturalBoulderUsed,PlacedBoulderUsed,NaturalOffChannelUsed,CreatedOffChannelUsed,NewSideChannelUsed,NoStructureUsed,FieldNotes
Upper Grande Ronde,CBW05583-442266,6/24/2015,3082,192122942,Kaylyn Crew,Data Collection,Post Processing,Rock Creek,Annual,1,2,2,1,Slow,40,O. mykiss,,No,Yes,No,No,No,No,No,No,
Upper Grande Ronde,CBW05583-442266,6/24/2015,3082,192122943,Kaylyn Crew,Data Collection,Post Processing,Rock Creek,Annual,2,2,2,1,Slow,10,O. mykiss,,No,Yes,No,No,No,No,No,No,
Upper Grande Ronde,CBW05583-442266,6/24/2015,3082,192122944,Kaylyn Crew,Data Collection,Post Processing,Rock Creek,Annual,3,2,2,1,Slow,5,O. mykiss,,No,Yes,No,No,No,No,No,No,
Upper Grande Ronde,CBW05583-442266,6/24/2015,3082,192122945,Kaylyn Crew,Data Collection,Post Processing,Rock Creek,Annual,4,2,2,1,Slow,10,O. mykiss,,No,Yes,No,No,No,No,No,No,
Upper Grande Ronde,CBW05583-442266,6/24/2015,3082,192122946,Kaylyn Crew,Data Collection,Post Processing,Rock Creek,Annual,5,2,2,1,Slow,10,O. mykiss,,No,Yes,No,No,No,No,No,No,
Upper Grande Ronde,CBW05583-442266,6/24/2015,3082,192122947,Kaylyn Crew,Data Collection,Post Processing,Rock Creek,Annual,6,3,3,1,Fast,3,O. mykiss,,No,No,No,No,No,No,No,Yes,
Upper Grande Ronde,CBW05583-442266,6/24/2015,3082,192122948,Kaylyn Crew,Data Collection,Post Processing,Rock Creek,Annual,7,3,3,1,Fast,1,O. mykiss,,No,No,No,No,No,No,No,Yes,
Upper Grande Ronde,CBW05583-442266,6/24/2015,3082,192122949,Kaylyn Crew,Data Collection,Post Processing,Rock Creek,Annual,8,3,3,1,Slow,10,O. mykiss,,No,No,No,Yes,No,No,No,No,
Upper Grande Ronde,CBW05583-442266,6/24/2015,3082,192122950,Kaylyn Crew,Data Collection,Post Processing,Rock Creek,Annual,9,3,3,1,Slow,10,O. mykiss,,No,No,No,No,No,No,No,Yes,
Upper Grande Ronde,CBW05583-442266,6/24/2015,3082,192122951,Kaylyn Crew,Data Collection,Post Processing,Rock Creek,Annual,10,3,3,1,Slow,5,O. mykiss,,No,No,No,No,No,No,No,Yes,
Upper Grande Ronde,CBW05583-442266,6/24/2015,3082,192122952,Kaylyn Crew,Data Collection,Post Processing,Rock Creek,Annual,11,3,3,1,Slow,5,O. mykiss,,No,No,No,No,No,No,No,Yes,
Upper Grande Ronde,CBW05583-442266,6/24/2015,3082,192122953,Kaylyn Crew,Data Collection,Post Processing,Rock Creek,Annual,12,4,4,1,Slow,3,O. mykiss,,No,No,No,Yes,No,No,No,No,
Upper Grande Ronde,CBW05583-442266,6/24/2015,3082,192122954,Kaylyn Crew,Data Collection,Post Processing,Rock Creek,Annual,13,5,5,1,Fast,100,O. mykiss,,No,No,No,No,No,No,No,Yes,
Upper Grande Ronde,CBW05583-442266,6/24/2015,3082,192122955,Kaylyn Crew,Data Collection,Post Processing,Rock Creek,Annual,14,5,5,1,Fast,10,O. mykiss,,No,No,No,No,No,No,No,Yes,
Upper Grande Ronde,CBW05583-442266,6/24/2015,3082,192122956,Kaylyn Crew,Data Collection,Post Processing,Rock Creek,Annual,15,5,5,1,Fast,10,O. mykiss,,No,No,No,No,No,No,No,Yes,
